SessionID,TopicNumber,TopicProduct,TopicGoal,TaskType,Query,QueryOrder,QueryLen,QueryDwellTime,NumClickedPage,NumClickedDoc,NumKeyDoc,NumRelevantDoc,AveDwellTime,TotalDwellTime,AveClickRank,ClickDepth,SearchEngineDwellTime,ClickPrecision,TimetoFirstLastClick,ReciproalRank,ratiofirstclick
6,8,factual,specific,known-item,kursk russia,3,2,18.8851,0,0,0,0,,0,,,18.8851,,18.8851,0,1
7,24,factual,specific,known-item,Red Bull health concerns,1,4,123.8366,71,1,0,0,9.2588,9.2588,,3,114.5778,0,9.2588,0,0.074766265
8,22,intellectual,specific,interpretive,gun control,1,2,16.3986,0,0,0,0,,0,,,16.3986,,16.3986,0,1
9,53,intellectual,specific,interpretive,non-profit organization,1,2,13.7912,0,0,0,0,,0,,,13.7912,,13.7912,0,1
10,60,intellectual,specific,interpretive,African HIV charities,1,3,120.3851,0,4,0,0,27.443575,109.7743,5.75,10,10.6108,0,109.7743,0,0.911859524
10,60,intellectual,specific,interpretive,African charities,2,2,19.8978,0,0,0,0,,0,,,19.8978,,19.8978,0,1
11,44,intellectual,specific,interpretive,internet phone service benifits,1,4,21.3775,0,0,0,0,,0,,,21.3775,,21.3775,0,1
11,44,intellectual,specific,interpretive,what make internet phone service great,2,6,29.2645,0,0,0,0,,0,,,29.2645,,29.2645,0,1
11,44,intellectual,specific,interpretive,internet phone service advantages,3,4,28.9413,0,0,0,0,,0,,,28.9413,,28.9413,0,1
11,44,intellectual,specific,interpretive,internet phone service selection advice,4,5,64.7106,0,0,0,0,,0,,,64.7106,,64.7106,0,1
12,26,intellectual,amorphous,exploratory,hawaii vacation,1,2,21.9336,0,2,0,2,8.82645,17.6529,4.5,6,4.2807,1,17.6529,0,0.80483368
12,26,intellectual,amorphous,exploratory,seattle vacation,2,2,17.1773,0,1,0,0,12.6007,12.6007,3,3,4.5766,0,12.6007,0,0.733566975
12,26,intellectual,amorphous,exploratory,canada vacation,3,2,17.185,0,1,0,0,11.9239,11.9239,1,1,5.2611,0,11.9239,0,0.693855106
12,26,intellectual,amorphous,exploratory,paris vacation,4,2,57.2528,0,0,0,0,,0,,,57.2528,,57.2528,0,1
13,4,factual,specific,known-item,Smoking qutting tips,1,3,13,0,0,0,0,,0,,,13,,13,0,1
13,4,factual,specific,known-item,reddit smoking quitting,2,3,67,0,3,0,1,17.66666667,53,2.666666667,4,14,0.333333333,53,0,0.791044776
13,4,factual,specific,known-item,no more smoking,3,3,19,0,0,0,0,,0,,,19,,19,0,1
14,47,factual,specific,known-item,Swahili dishes guide,1,3,63.0357,0,0,0,0,,0,,,63.0357,,63.0357,0,1
14,47,factual,specific,known-item,Swahili traditional food guide,2,4,206.0482,0,0,0,0,,0,,,206.0482,,206.0482,0,1
15,59,factual,amorphous,known-subject,philedelphia travel guide,1,3,21.8358,10,0,0,0,,0,,,21.8358,,21.8358,0,1
15,59,factual,amorphous,known-subject,what to see around philedelphia,2,5,39.5273,10,0,0,0,,0,,,39.5273,,39.5273,0,1
16,58,intellectual,specific,interpretive,Teacher peer evaluation,1,3,59.024,0,1,0,1,6.8379,6.8379,,3,52.1861,1,6.8379,0,0.115849485
16,58,intellectual,specific,interpretive,Students evaluation of teachers,2,4,67.526,0,2,0,1,7.53965,15.0793,2.5,4,52.4467,0.5,15.0793,0,0.223311021
17,53,intellectual,specific,interpretive,403 vs IRA,1,3,31.245,0,0,0,0,,0,,,31.245,,31.245,0,1
17,53,intellectual,specific,interpretive,403(b) advantages,2,2,27.7119,0,0,0,0,,0,,,27.7119,,27.7119,0,1
17,53,intellectual,specific,interpretive,IRA advantages,3,2,37.3378,0,0,0,0,,0,,,37.3378,,37.3378,0,1
17,53,intellectual,specific,interpretive,IRA adisadvangtages,4,2,5.7738,0,0,0,0,,0,,,5.7738,,5.7738,0,1
17,53,intellectual,specific,interpretive,IRAadisadvangtages,5,1,4.3662,0,0,0,0,,0,,,4.3662,,4.3662,0,1
17,53,intellectual,specific,interpretive,IRA disadvangtages,6,2,15.9681,0,0,0,0,,0,,,15.9681,,15.9681,0,1
17,53,intellectual,specific,interpretive,Which is better 403(b) or an IRA?,7,7,20.9583,0,0,0,0,,0,,,20.9583,,20.9583,0,1
18,30,intellectual,specific,interpretive,Swahili food,1,2,16.721,0,1,0,0,10.96,10.96,8,8,5.761,0,10.96,0,0.65546319
19,13,factual,amorphous,known-subject,france world cup 1998,1,4,26.2113,0,0,0,0,,0,,,26.2113,,26.2113,0,1
19,13,factual,amorphous,known-subject,what happened after france won world cup 1998,2,8,23.2811,0,0,0,0,,0,,,23.2811,,23.2811,0,1
19,13,factual,amorphous,known-subject,france world cup 1998 reactions,3,5,6.9433,0,0,0,0,,0,,,6.9433,,6.9433,0,1
19,13,factual,amorphous,known-subject,france world cup 1998 reaction,4,5,16.461,0,0,0,0,,0,,,16.461,,16.461,0,1
20,34,intellectual,specific,interpretive,Training at connecticut fire academy,1,5,23.2755,0,0,0,0,,0,,,23.2755,,23.2755,0,1
21,33,factual,amorphous,known-subject,famous scientific glass blowing,1,4,54.3762,10,4,0,0,11.652825,46.6113,,4,7.7649,0,46.6113,0,0.857200393
21,33,factual,amorphous,known-subject,glass blowing in history,2,4,15.5132,0,0,0,0,,0,,,15.5132,,15.5132,0,1
22,9,factual,amorphous,known-subject,bollywood legislation,1,2,26.0772,0,0,0,0,,0,,,26.0772,,26.0772,0,1
22,9,factual,amorphous,known-subject,growth in bollywood,2,3,13.1258,0,0,0,0,,0,,,13.1258,,13.1258,0,1
22,9,factual,amorphous,known-subject,growth in bollywood government,3,4,18.5657,0,0,0,0,,0,,,18.5657,,18.5657,0,1
22,9,factual,amorphous,known-subject,india government bollywood,4,3,35.4924,0,0,0,0,,0,,,35.4924,,35.4924,0,1
22,9,factual,amorphous,known-subject,india growth bollywood,5,3,11.6073,0,0,0,0,,0,,,11.6073,,11.6073,0,1
23,30,intellectual,specific,interpretive,swahili food,1,2,16.8449,0,0,0,0,,0,,,16.8449,,16.8449,0,1
23,30,intellectual,specific,interpretive,swahili recipes,2,2,31.1577,0,0,0,0,,0,,,31.1577,,31.1577,0,1
23,30,intellectual,specific,interpretive,traditional swahili recipes,3,3,66.9294,0,1,0,0,51.0628,51.0628,1,1,15.8666,0,51.0628,0,0.762935272
23,30,intellectual,specific,interpretive,traditional swahili food,4,3,5.4067,0,0,0,0,,0,,,5.4067,,5.4067,0,1
24,54,factual,specific,known-item,Connecticut fire academy,1,3,53.4603,0,1,0,0,39.7045,39.7045,4,4,13.7558,0,39.7045,0,0.742691306
24,54,factual,specific,known-item,Connecticut firemen academy,2,3,18.7978,0,0,0,0,,0,,,18.7978,,18.7978,0,1
24,54,factual,specific,known-item,Connecticut firemen school,3,3,24.2265,0,0,0,0,,0,,,24.2265,,24.2265,0,1
25,16,factual,amorphous,known-subject,WEIGHT LOSS POSSIBILITIES,1,3,130.2123,0,0,0,0,,0,,,130.2123,,130.2123,0,1
26,8,factual,specific,known-item,Kursk Sinking,1,2,19.6568,0,0,0,0,,0,,,19.6568,,19.6568,0,1
26,8,factual,specific,known-item,Kursk Wikipedia,2,2,52.9683,0,0,0,0,,0,,,52.9683,,52.9683,0,1
26,8,factual,specific,known-item,Kursk,3,1,23.2601,0,0,0,0,,0,,,23.2601,,23.2601,0,1
26,8,factual,specific,known-item,Kursk Submarine How many crewman lost,4,6,31.3931,0,0,0,0,,0,,,31.3931,,31.3931,0,1
27,35,intellectual,specific,interpretive,Merck and Co. lobbying,1,4,65.3095,0,3,1,2,20.50213333,61.5064,2,3,3.8031,0.666666667,61.5064,1,0.941768043
27,35,intellectual,specific,interpretive,Merck and Co. legislation,2,4,36.7526,0,0,0,0,,0,,,36.7526,,36.7526,0,1
28,42,intellectual,amorphous,exploratory,collagen vascular disease,1,3,173.5798,0,0,0,0,,0,,,173.5798,,173.5798,0,1
29,18,intellectual,amorphous,exploratory,pseudocyesis information,1,2,36.6632,0,1,0,1,7.228,7.228,1,1,29.4352,1,7.228,0,0.197145912
29,18,intellectual,amorphous,exploratory,pseudocyesis advances,2,2,8.5645,0,0,0,0,,0,,,8.5645,,8.5645,0,1
29,18,intellectual,amorphous,exploratory,pseudocyesis advances false pregnancy psychology,3,5,22.7461,0,0,0,0,,0,,,22.7461,,22.7461,0,1
29,18,intellectual,amorphous,exploratory,pseudocyesis advances in medicine,4,4,20.1331,0,0,0,0,,0,,,20.1331,,20.1331,0,1
29,18,intellectual,amorphous,exploratory,pseudocyesis developments,5,2,21.8724,0,1,0,0,16.5005,16.5005,2,2,5.3719,0,16.5005,0,0.754398237
29,18,intellectual,amorphous,exploratory,pseudocyesis recent developments,6,3,12.0264,0,0,0,0,,0,,,12.0264,,12.0264,0,1
29,18,intellectual,amorphous,exploratory,recent developments in pseudocyesis,7,4,16.55,0,0,0,0,,0,,,16.55,,16.55,0,1
30,28,intellectual,specific,interpretive,breeding dogs,1,2,119.7221,0,3,0,0,37.31913333,111.9574,2.333333333,4,7.7647,0,111.9574,0,0.935143971
31,21,factual,amorphous,known-subject,how does hydoelectric power work,1,5,28.1454,0,0,0,0,,0,,,28.1454,,28.1454,0,1
31,21,factual,amorphous,known-subject,hydoelectric power,2,2,20.3096,0,0,0,0,,0,,,20.3096,,20.3096,0,1
31,21,factual,amorphous,known-subject,hydropower,3,1,136.46,10,3,1,2,43.0104,129.0312,,10,7.4288,0.666666667,129.0312,10,0.945560604
31,21,factual,amorphous,known-subject,hydropower damns,4,2,11.1954,10,0,0,0,,0,,,11.1954,,11.1954,0,1
31,21,factual,amorphous,known-subject,why isn't hydropower used more often,5,6,32.0783,10,0,0,0,,0,,,32.0783,,32.0783,0,1
32,25,intellectual,specific,interpretive,dehumidifiers,1,1,19.0655,0,0,0,0,,0,,,19.0655,,19.0655,0,1
32,25,intellectual,specific,interpretive,dehumidifiers best value,2,3,66.5733,0,1,0,0,46.331,46.331,5,5,20.2423,0,46.331,0,0.695939663
32,25,intellectual,specific,interpretive,dehumidifiers reviews best value,3,4,42.9546,0,0,0,0,,0,,,42.9546,,42.9546,0,1
32,25,intellectual,specific,interpretive,dehumidifiers reviews low cost,4,4,16.981,0,0,0,0,,0,,,16.981,,16.981,0,1
33,15,factual,specific,known-item,best internet phone services,1,4,82.8527,0,4,0,2,17.61875,70.475,6.25,9,12.3777,0.5,70.475,0,0.850605955
33,15,factual,specific,known-item,cheapest internet phone services,2,4,40.6324,0,2,0,0,8.9121,17.8242,9,10,22.8082,0,17.8242,0,0.438669633
33,15,factual,specific,known-item,providers of VOIP,3,3,38.5095,0,0,0,0,,0,,,38.5095,,38.5095,0,1
33,15,factual,specific,known-item,providers of VOIP list,4,4,44.156,0,1,0,1,30.7276,30.7276,2,2,13.4284,1,30.7276,0,0.695887309
33,15,factual,specific,known-item,features that great VOIP services,5,5,85.1788,0,3,0,0,20.34293333,61.0288,3.666666667,6,24.15,0,61.0288,0,0.716478748
33,15,factual,specific,known-item,free calls from the US to some European countries voip,6,10,38.7079,0,1,0,0,23.1265,23.1265,3,3,15.5814,0,23.1265,0,0.597462017
34,51,factual,specific,known-item,location of port arthur,1,4,17.6815,0,0,0,0,,0,,,17.6815,,17.6815,0,1
34,51,factual,specific,known-item,location of port arthur massacre,2,5,52.0347,0,1,1,1,41.0033,41.0033,2,2,11.0314,1,41.0033,2,0.787999162
34,51,factual,specific,known-item,what happened at the Port Arthur Massacre,3,7,28.4768,0,0,0,0,,0,,,28.4768,,28.4768,0,1
34,51,factual,specific,known-item,Port Arthur Massacre australia,4,4,92.4781,0,1,0,0,86.1017,86.1017,1,1,6.3764,0,86.1017,0,0.931049621
35,59,factual,amorphous,known-subject,philedelphia travel guide,1,3,19.8127,0,0,0,0,,0,,,19.8127,,19.8127,0,1
35,59,factual,amorphous,known-subject,what to see around philedelphia,2,5,17.669,0,0,0,0,,0,,,17.669,,17.669,0,1
36,39,intellectual,amorphous,exploratory,cause of eurozone crisi,1,4,134.6256,0,0,0,0,,0,,,134.6256,,134.6256,0,1
37,47,factual,specific,known-item,traditional swahili dishes,1,3,94.4804,30,0,0,0,,0,,,94.4804,,94.4804,0,1
38,5,factual,amorphous,known-subject,Face transplants,1,2,117.9678,0,6,3,6,19.23705,115.4223,5.166666667,9,2.5455,1,115.4223,3,0.978422078
39,8,factual,specific,known-item,Kursk,1,1,12.42,0,0,0,0,,0,,,12.42,,12.42,0,1
39,8,factual,specific,known-item,Submarine Kursk,2,2,29.7279,0,1,0,1,25.5183,25.5183,2,2,4.2096,1,25.5183,0,0.858395649
39,8,factual,specific,known-item,Russian Submarine Kursk,3,3,36.103,8,2,0,2,10.27235,20.5447,,4,15.5583,1,20.5447,0,0.569057973
39,8,factual,specific,known-item,Russian Submarine Kursk Commander,4,4,8.0328,0,1,0,0,29.9194,29.9194,,,-21.8866,0,29.9194,0,3.724653919
39,8,factual,specific,known-item,Kursk Countries,5,2,7.1732,0,0,0,0,,0,,,7.1732,,7.1732,0,1
40,24,factual,specific,known-item,side effects of Red Bull,1,5,52.3358,0,0,0,0,,0,,,52.3358,,52.3358,0,1
40,24,factual,specific,known-item,US laws proposing a ban on drinks like Red Bull,2,10,30.7232,0,0,0,0,,0,,,30.7232,,30.7232,0,1
40,24,factual,specific,known-item,ingredients of redbull,3,3,47.1939,10,0,0,0,,0,,,47.1939,,47.1939,0,1
41,33,factual,amorphous,known-subject,glass science advances,1,3,73.5706,0,0,0,0,,0,,,73.5706,,73.5706,0,1
41,33,factual,amorphous,known-subject,glass science history,2,3,41.9173,0,0,0,0,,0,,,41.9173,,41.9173,0,1
42,17,intellectual,amorphous,exploratory,what to do if a friend has depression,1,8,22.641,0,0,0,0,,0,,,22.641,,22.641,0,1
42,17,intellectual,amorphous,exploratory,helping someone with depression,2,4,32.7708,0,0,0,0,,0,,,32.7708,,32.7708,0,1
42,17,intellectual,amorphous,exploratory,medical referrals for depression,3,4,12.9031,0,0,0,0,,0,,,12.9031,,12.9031,0,1
42,17,intellectual,amorphous,exploratory,psychologists,4,1,9.4905,0,0,0,0,,0,,,9.4905,,9.4905,0,1
43,42,intellectual,amorphous,exploratory,collagen vascular disease,1,3,67.393,0,2,1,1,32.7594,65.5188,1.5,2,1.8742,0.5,65.5188,2,0.97218999
43,42,intellectual,amorphous,exploratory,collagen vascular disease sports,2,4,10.4769,0,0,0,0,,0,,,10.4769,,10.4769,0,1
43,42,intellectual,amorphous,exploratory,collagen vascular disease lifestyle,3,4,48.053,0,2,0,2,22.3569,44.7138,7,10,3.3392,1,44.7138,0,0.930510062
43,42,intellectual,amorphous,exploratory,collagen vascular disease guide,4,4,10.565,0,0,0,0,,0,,,10.565,,10.565,0,1
44,36,factual,amorphous,known-subject,European economic issues,1,3,19.5184,0,0,0,0,,0,,,19.5184,,19.5184,0,1
44,36,factual,amorphous,known-subject,Cyprus economic issues.,2,3,27.6826,0,0,0,0,,0,,,27.6826,,27.6826,0,1
44,36,factual,amorphous,known-subject,Cyprus economic crisis,3,3,32.4063,0,1,0,0,8.8005,8.8005,2,2,23.6058,0,8.8005,0,0.271567566
45,10,intellectual,amorphous,exploratory,junk food,1,2,118,0,5,0,5,22,110,5.2,8,8,1,110,0,0.93220339
46,52,intellectual,specific,interpretive,WHICH IS BEST COUNTRY FOR WORKING US OR UK,1,9,26.0371,0,0,0,0,,0,,,26.0371,,26.0371,0,1
46,52,intellectual,specific,interpretive,safety nets,2,2,20.5318,0,0,0,0,,0,,,20.5318,,20.5318,0,1
46,52,intellectual,specific,interpretive,WHICH COUNTRY IS SAFETY NETS FOR WORKING JOB US OR UK,3,11,46.8602,0,0,0,0,,0,,,46.8602,,46.8602,0,1
47,58,intellectual,specific,interpretive,teacher peer evaluations,1,3,59.6001,0,1,0,0,41.7089,41.7089,,,17.8912,0,41.7089,0,0.699812584
48,28,intellectual,specific,interpretive,designer dog,1,2,125.1692,0,0,0,0,,0,,,125.1692,,125.1692,0,1
49,15,factual,specific,known-item,Voip,1,1,11.2108,0,0,0,0,,0,,,11.2108,,11.2108,0,1
49,15,factual,specific,known-item,voip features,2,2,49.1797,0,1,0,0,44.3792,44.3792,2,2,4.8005,0,44.3792,0,0.902388587
49,15,factual,specific,known-item,voip providers,3,2,16.7884,0,0,0,0,,0,,,16.7884,,16.7884,0,1
49,15,factual,specific,known-item,voip reviews,4,2,59.6788,0,1,0,1,53.675,53.675,2,2,6.0038,1,53.675,0,0.899398111
49,15,factual,specific,known-item,cheapest voip,5,2,17.8002,0,0,0,0,,0,,,17.8002,,17.8002,0,1
50,56,factual,amorphous,known-subject,Pocono Mountains region,1,3,30.7692,0,1,0,0,23.5167,23.5167,1,1,7.2525,0,23.5167,0,0.764293514
50,56,factual,amorphous,known-subject,Pocono Mountains region nation parks,2,5,65.0434,0,2,0,2,24.6117,49.2234,2.5,3,15.82,1,49.2234,0,0.756777782
50,56,factual,amorphous,known-subject,National Parks at Pocono Mountains region,3,6,62.5761,0,1,0,0,38.1037,38.1037,8,8,24.4724,0,38.1037,0,0.608917782
51,58,intellectual,specific,interpretive,teacher peer evaluation,1,3,47.8492,0,1,1,1,23.6041,23.6041,6,6,24.2451,1,23.6041,6,0.493301873
51,58,intellectual,specific,interpretive,students evaluating teachers,2,3,67.2906,10,0,0,0,,0,,,67.2906,,67.2906,0,1
52,21,factual,amorphous,known-subject,hydropower efficiency,1,2,122.4352,0,1,0,1,113.8989,113.8989,2,2,8.5363,1,113.8989,0,0.930279037
52,21,factual,amorphous,known-subject,hydropower environment,2,2,18.4569,0,1,0,1,12.4569,12.4569,2,2,6,1,12.4569,0,0.674918323
53,7,intellectual,amorphous,exploratory,submarine Kursk wiki,1,3,17.5927,0,0,0,0,,0,,,17.5927,,17.5927,0,1
53,7,intellectual,amorphous,exploratory,submarine Kursk political effect,2,4,70.5765,0,0,0,0,,0,,,70.5765,,70.5765,0,1
53,7,intellectual,amorphous,exploratory,submarine Kursk and cold war,3,5,26.4818,0,0,0,0,,0,,,26.4818,,26.4818,0,1
54,30,intellectual,specific,interpretive,kenya swahili food,1,3,11.6052,0,0,0,0,,0,,,11.6052,,11.6052,0,1
54,30,intellectual,specific,interpretive,kenya swahili recipes,2,3,12.5972,0,0,0,0,,0,,,12.5972,,12.5972,0,1
54,30,intellectual,specific,interpretive,kenya recipes,3,2,87.2681,0,2,1,1,39.80445,79.6089,1.5,2,7.6592,0.5,79.6089,2,0.91223368
54,30,intellectual,specific,interpretive,traditional kenya recipes,4,3,11.0433,0,0,0,0,,0,,,11.0433,,11.0433,0,1
55,13,factual,amorphous,known-subject,French reaction to winning the World Cup in 1998,1,9,74.1151,0,1,0,0,54.0742,54.0742,2,2,20.0409,0,54.0742,0,0.729597612
55,13,factual,amorphous,known-subject,France World Cup 1998,2,4,43.1534,21,1,1,1,35.3188,35.3188,,5,7.8346,1,35.3188,5,0.818447677
55,13,factual,amorphous,known-subject,French reaction to winning the world cup,3,7,6.6539,0,0,0,0,,0,,,6.6539,,6.6539,0,1
55,13,factual,amorphous,known-subject,French citizens reaction to winning the World Cup 1998,4,9,5.0905,0,0,0,0,,0,,,5.0905,,5.0905,0,1
56,24,factual,specific,known-item,red bull side effects,1,4,54.4472,0,1,0,1,19.2825,19.2825,1,1,35.1647,1,19.2825,0,0.354150443
56,24,factual,specific,known-item,red bull bad,2,3,37.3624,0,0,0,0,,0,,,37.3624,,37.3624,0,1
57,46,intellectual,amorphous,exploratory,women employees percentage,1,3,106.569,0,0,0,0,,0,,,106.569,,106.569,0,1
57,46,intellectual,amorphous,exploratory,women and minority employees percentage,2,5,8.4741,0,0,0,0,,0,,,8.4741,,8.4741,0,1
57,46,intellectual,amorphous,exploratory,minority employees percentage,3,3,8.6056,0,0,0,0,,0,,,8.6056,,8.6056,0,1
57,46,intellectual,amorphous,exploratory,minority employees,4,2,4.4831,0,0,0,0,,0,,,4.4831,,4.4831,0,1
58,2,factual,specific,known-item,dallas airports,1,2,55.1755,0,2,0,0,25.3198,50.6396,1.5,2,4.5359,0,50.6396,0,0.917791411
58,2,factual,specific,known-item,dallas airports hotel area,2,4,110.8421,0,1,0,0,103.5602,103.5602,7,7,7.2819,0,103.5602,0,0.934303843
59,17,intellectual,amorphous,exploratory,how to tell if someone is depressed,1,7,72.3099,0,1,0,1,54.398,54.398,9,9,17.9119,1,54.398,0,0.752289797
59,17,intellectual,amorphous,exploratory,how to help someone who is depressed,2,7,93.4371,10,1,0,1,60.7588,60.7588,,1,32.6783,1,60.7588,0,0.650264188
60,40,factual,amorphous,known-subject,newborn milestones asian,1,3,20.2628,0,0,0,0,,0,,,20.2628,,20.2628,0,1
60,40,factual,amorphous,known-subject,newborn milestones japan,2,3,10.0688,0,0,0,0,,0,,,10.0688,,10.0688,0,1
60,40,factual,amorphous,known-subject,newborn milestones china,3,3,22.5053,0,0,0,0,,0,,,22.5053,,22.5053,0,1
60,40,factual,amorphous,known-subject,japan infant milestones,4,3,29.101,0,0,0,0,,0,,,29.101,,29.101,0,1
60,40,factual,amorphous,known-subject,china infant milestones,5,3,7.0748,0,0,0,0,,0,,,7.0748,,7.0748,0,1
61,36,factual,amorphous,known-subject,portugal eurozone,1,2,90.0454,0,1,1,1,71.6839,71.6839,1,1,18.3615,1,71.6839,1,0.796086197
62,27,factual,specific,known-item,dehumidifier,1,1,30.3871,0,1,1,1,26.6126,26.6126,1,1,3.7745,1,26.6126,1,0.875786107
62,27,factual,specific,known-item,dehumidifier prices,2,2,6.8497,0,0,0,0,,0,,,6.8497,,6.8497,0,1
62,27,factual,specific,known-item,dehumidifier prices amazon,3,3,11.2321,0,0,0,0,,0,,,11.2321,,11.2321,0,1
62,27,factual,specific,known-item,dehumidifier specs,4,2,31.0013,0,0,0,0,,0,,,31.0013,,31.0013,0,1
63,46,intellectual,amorphous,exploratory,women employees and minority employees,1,5,5.9672,0,0,0,0,,0,,,5.9672,,5.9672,0,1
64,42,intellectual,amorphous,exploratory,collagen vascular disease,1,3,73.8956,0,5,1,4,13.08222,65.4111,3,5,8.4845,0.8,65.4111,3,0.885182609
64,42,intellectual,amorphous,exploratory,types of collagen vascular disease,2,5,78.2734,0,5,1,4,12.09276,60.4638,,,17.8096,0.8,60.4638,5,0.772469319
65,29,factual,specific,known-item,bollywood,1,1,35.1978,0,1,0,0,30.4275,30.4275,1,1,4.7703,0,30.4275,0,0.864471643
65,29,factual,specific,known-item,bollywood location,2,2,16.833,0,0,0,0,,0,,,16.833,,16.833,0,1
65,29,factual,specific,known-item,bollywood name origin,3,3,9.8321,0,0,0,0,,0,,,9.8321,,9.8321,0,1
65,29,factual,specific,known-item,bollywood name meaning,4,3,12.6045,0,0,0,0,,0,,,12.6045,,12.6045,0,1
65,29,factual,specific,known-item,bollywood stars,5,2,37.1136,0,1,0,1,32.9814,32.9814,3,3,4.1322,1,32.9814,0,0.88866076
65,29,factual,specific,known-item,why is it called bollywood,6,5,14.7698,10,0,0,0,,0,,,14.7698,,14.7698,0,1
66,22,intellectual,specific,interpretive,gun control and its effects on gun violence,1,8,250.1254,50,7,0,3,28.21252857,197.4877,,39,52.6377,0.428571429,197.4877,0,0.789554759
67,57,intellectual,amorphous,exploratory,Indian politics behind miss universe win,1,6,36.7731,0,0,0,0,,0,,,36.7731,,36.7731,0,1
67,57,intellectual,amorphous,exploratory,Indian miss universe political issues.,2,5,34.7177,0,0,0,0,,0,,,34.7177,,34.7177,0,1
68,31,factual,specific,known-item,Churchill Downs,1,2,11.2257,10,0,0,0,,0,,,11.2257,,11.2257,0,1
68,31,factual,specific,known-item,Churchill Downs seating,2,3,27.6459,0,0,0,0,,0,,,27.6459,,27.6459,0,1
68,31,factual,specific,known-item,Kentucky Derby museum,3,3,32.7653,0,0,0,0,,0,,,32.7653,,32.7653,0,1
68,31,factual,specific,known-item,Churchill Downs breeders cup,4,4,14.6479,10,0,0,0,,0,,,14.6479,,14.6479,0,1
68,31,factual,specific,known-item,Churchill  breeders cup,5,3,19.6615,0,0,0,0,,0,,,19.6615,,19.6615,0,1
69,57,intellectual,amorphous,exploratory,Indian miss world competitions,1,4,18.4645,0,0,0,0,,0,,,18.4645,,18.4645,0,1
69,57,intellectual,amorphous,exploratory,Indian government miss world,2,4,32.9597,0,0,0,0,,0,,,32.9597,,32.9597,0,1
69,57,intellectual,amorphous,exploratory,Indian governmental policy miss universe,3,5,56.3834,0,0,0,0,,0,,,56.3834,,56.3834,0,1
69,57,intellectual,amorphous,exploratory,Indian miss universse,4,3,4.4498,0,0,0,0,,0,,,4.4498,,4.4498,0,1
70,55,factual,specific,known-item,JP morgan chase history,1,4,70.4707,0,1,0,0,57.5871,57.5871,3,3,12.8836,0,57.5871,0,0.817177919
71,48,factual,amorphous,known-subject,evaluating empoyess,1,2,8.9645,0,0,0,0,,0,,,8.9645,,8.9645,0,1
